simulation,total_floors,capacity,total_requests,lor,visited_floors
1,10,4,30,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.75, 0.5, 0.75, 1.0, 1.0, 1.0, 0.75, 0.75, 0.75, 0.5, 1.0, 1.0, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.5, 0.5, 0.25, 0.5, 0.75, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
2,10,13,30,"[0.0, 0.23076923076923078, 0.46153846153846156, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 1.0, 1.0, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.7692307692307693, 0.5384615384615384, 0.46153846153846156, 0.3076923076923077, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.07692307692307693]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
3,10,9,30,"[0.0, 0.1111111111111111, 0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.5555555555555556, 0.3333333333333333, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.4444444444444444, 0.6666666666666666, 0.7777777777777778, 0.5555555555555556, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
4,10,15,30,"[0.0, 0.26666666666666666, 0.3333333333333333, 0.6666666666666666, 0.7333333333333333, 0.8666666666666667, 1.0, 1.0, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 1.0, 1.0, 0.9333333333333333, 0.8666666666666667, 0.7333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13333333333333333, 0.2, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
5,10,6,30,"[0.0, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 0.6666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333334, 1.0, 1.0, 0.6666666666666666, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.16666666666666666]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
6,10,15,30,"[0.0, 0.2, 0.26666666666666666, 0.13333333333333333, 0.3333333333333333, 0.6, 0.8666666666666667, 0.7333333333333333, 0.8666666666666667, 1.0, 1.0, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.4666666666666667, 0.2, 0.13333333333333333, 0.06666666666666667, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.2, 0.2, 0.2, 0.13333333333333333, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
7,10,13,30,"[0.0, 0.07692307692307693, 0.23076923076923078, 0.6153846153846154, 1.0, 1.0, 1.0, 0.9230769230769231, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8461538461538461, 0.7692307692307693, 0.5384615384615384, 0.38461538461538464, 0.23076923076923078, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
8,10,9,30,"[0.0, 0.4444444444444444, 0.7777777777777778, 1.0, 1.0, 1.0, 0.8888888888888888, 1.0, 0.8888888888888888, 1.0, 1.0, 1.0, 0.8888888888888888, 1.0, 1.0, 1.0, 0.7777777777777778, 0.5555555555555556, 0.4444444444444444, 0.3333333333333333, 0.3333333333333333, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.5555555555555556, 0.4444444444444444, 0.4444444444444444]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
9,10,12,30,"[0.0, 0.25, 0.6666666666666666, 0.75, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 0.6666666666666666, 0.6666666666666666, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 0.5833333333333334, 0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
10,10,9,30,"[0.0, 0.2222222222222222, 0.7777777777777778, 0.7777777777777778, 1.0, 1.0, 1.0, 0.8888888888888888, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7777777777777778, 0.5555555555555556, 0.4444444444444444, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.4444444444444444, 0.5555555555555556, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5555555555555556, 0.4444444444444444, 0.2222222222222222]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
