simulation,total_floors,capacity,total_requests,lor,visited_floors
1,10,5,30,"[0.0, 0.0, 0.4, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.4, 0.6, 0.4, 0.4, 0.8, 0.4, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 1.0, 1.0, 1.0, 0.6, 0.6, 0.2, 0.2, 0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.6, 0.6, 0.4, 0.4, 0.4, 0.2, 0.2, 0.2, 0.2]","[2, 3, 4, 5, 6, 7, 1, 8, 9, 10]"
2,10,5,30,"[0.0, 0.2, 0.8, 1.0, 1.0, 1.0, 1.0, 0.6, 0.4, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.8, 0.8, 0.8, 1.0, 0.8, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.4, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.2]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
3,10,5,30,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 1.0, 0.8, 0.8, 0.6, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.6, 0.6, 0.4, 0.4, 0.4, 0.2, 0.2, 0.2, 0.0, 0.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.8, 0.6, 0.6, 0.6, 0.6]","[2, 3, 4, 5, 6, 7, 8, 9, 1, 10]"
4,10,5,30,"[0.0, 0.2, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 0.8, 0.6, 0.0, 0.6, 0.6, 0.6, 0.4, 1.0, 1.0, 1.0, 0.8, 0.6, 0.6, 0.6, 0.6, 1.0, 1.0, 1.0, 0.4, 0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.2, 1.0, 0.8, 0.6, 0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.4, 0.4, 0.4, 0.2]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
5,10,5,30,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.8, 0.6, 0.8, 0.8, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.6, 0.0, 0.0, 0.0, 0.0, 0.2, 0.4, 0.4, 1.0, 0.6, 1.0, 0.8, 0.8, 0.8, 0.6, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.6, 0.6, 0.6, 0.6, 0.2]","[2, 3, 4, 5, 6, 7, 8, 9, 1, 10]"
6,10,5,30,"[0.0, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.2, 0.8, 0.8, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 0.4, 0.2, 0.2, 0.2, 0.4, 0.6, 0.6, 0.6, 1.0, 0.6, 0.2, 0.2, 0.2, 0.2, 0.2]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
7,10,5,30,"[0.0, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.6, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 0.6, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.4, 0.4, 1.0, 1.0, 0.8, 0.8, 0.6, 0.6, 0.4, 0.4, 0.4, 0.4, 0.4, 0.2, 0.2, 0.8, 1.0, 1.0, 0.8, 0.8, 0.8, 0.8, 0.6, 0.4, 0.2, 0.2, 0.2]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
8,10,5,30,"[0.0, 0.2, 0.8, 0.8, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.4, 0.4, 0.4, 0.4, 0.4, 0.6, 1.0, 1.0, 1.0, 1.0, 0.6, 0.6, 1.0, 1.0, 1.0, 0.8, 0.4, 0.4, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.8, 1.0, 0.8, 1.0, 0.8, 0.8, 0.6, 0.6, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.2, 0.2, 0.2]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
9,10,5,30,"[0.0, 0.4, 0.8, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.8, 0.8, 0.6, 1.0, 1.0, 1.0, 0.8, 0.6, 0.4, 1.0, 1.0, 1.0, 0.6, 0.8, 0.8, 0.6, 0.6, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.6, 0.6, 0.6, 0.4, 0.4, 0.2]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
10,10,5,30,"[0.0, 0.4, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.6, 0.4, 0.8, 0.8, 0.8, 0.6, 0.8, 0.6, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 1.0, 0.8, 0.6, 0.6, 0.8, 0.8, 0.6, 0.6, 0.4, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
