Simulation,Total Floors,Capacity,Total Requests,TTSW
1,10,10,30,300
2,10,9,30,237
3,10,6,30,516
4,10,7,30,454
5,10,12,30,153
6,10,15,30,169
7,10,15,30,224
8,10,6,30,352
9,10,8,30,258
10,10,10,30,293
11,10,11,30,217
12,10,8,30,452
13,10,10,30,270
14,10,11,30,205
15,10,14,30,166
16,10,10,30,273
17,10,6,30,459
18,10,6,30,461
19,10,2,30,1229
20,10,11,30,255
21,10,2,30,1338
22,10,3,30,686
23,10,2,30,1182
24,10,9,30,325
25,10,14,30,195
26,10,2,30,1312
27,10,15,30,248
28,10,6,30,414
29,10,2,30,1013
30,10,11,30,340
31,10,7,30,420
32,10,12,30,239
33,10,5,30,383
34,10,10,30,273
35,10,3,30,956
36,10,15,30,151
37,10,14,30,158
38,10,11,30,253
39,10,8,30,456
40,10,15,30,195
41,10,10,30,332
42,10,4,30,541
43,10,14,30,238
44,10,7,30,299
45,10,10,30,273
46,10,8,30,337
47,10,13,30,293
48,10,12,30,245
49,10,11,30,279
50,10,15,30,176
